lookupVariable,lookupValue,newVariable,newValue,source 
RoadSurface,Paved,PavedRoad,1,
RoadSurface,Gravel,PavedRoad,0,
RoadSurface,Unknown,PavedRoad,0,
RoadSurface,Dirt,PavedRoad,0,
RoadSurface,Impassable,PavedRoad,0,
RoadSurface,Unimproved,PavedRoad,0,
LandCover,Barren,LandCover4Predict,Wetland,
LandCover,Crop,LandCover4Predict,Wetland,
LandCover,Herbaceous,LandCover4Predict,Wetland,
LandCover,Open Water,LandCover4Predict,Wetland,
LandCover,Developed,LandCover4Predict,Developed,
LandCover,Wetland,LandCover4Predict,Wetland,
LandCover,Shrub,LandCover4Predict,Shrub,
LandCover,Forest,LandCover4Predict,Forest,
